2025-07-08 19:21:22,262 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) の必要人数計算: 曜日別平均勤務人数 = 291.60, 全体平均勤務人数 = 222.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,869 - WARNING - [heatmap.calculate_pattern_based_need] - 曜日 '金曜日'(4) は勤務実績が著しく少ないため、必要人数が実態と乖離する可能性があります。
2025-07-08 19:21:23,894 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '土曜日'(5) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 4.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:23,911 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '日曜日'(6) の必要人数計算: 曜日別平均勤務人数 = 0.00, 全体平均勤務人数 = 0.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,135 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) の必要人数計算: 曜日別平均勤務人数 = 0.00, 全体平均勤務人数 = 6.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,135 - WARNING - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) は勤務実績が著しく少ないため、必要人数が実態と乖離する可能性があります。
2025-07-08 19:21:24,155 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '火曜日'(1) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 6.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,177 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '水曜日'(2) の必要人数計算: 曜日別平均勤務人数 = 0.00, 全体平均勤務人数 = 6.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,177 - WARNING - [heatmap.calculate_pattern_based_need] - 曜日 '水曜日'(2) は勤務実績が著しく少ないため、必要人数が実態と乖離する可能性があります。
2025-07-08 19:21:24,193 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '木曜日'(3) の必要人数計算: 曜日別平均勤務人数 = 13.50, 全体平均勤務人数 = 6.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,211 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '金曜日'(4) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 6.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,240 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '土曜日'(5) の必要人数計算: 曜日別平均勤務人数 = 0.00, 全体平均勤務人数 = 6.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,240 - WARNING - [heatmap.calculate_pattern_based_need] - 曜日 '土曜日'(5) は勤務実績が著しく少ないため、必要人数が実態と乖離する可能性があります。
2025-07-08 19:21:24,261 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '日曜日'(6) の必要人数計算: 曜日別平均勤務人数 = 0.00, 全体平均勤務人数 = 0.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,488 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 12.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,515 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '火曜日'(1) の必要人数計算: 曜日別平均勤務人数 = 9.00, 全体平均勤務人数 = 12.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,537 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '水曜日'(2) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 12.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,558 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '木曜日'(3) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 12.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,577 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '金曜日'(4) の必要人数計算: 曜日別平均勤務人数 = 9.00, 全体平均勤務人数 = 12.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,593 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '土曜日'(5) の必要人数計算: 曜日別平均勤務人数 = 9.00, 全体平均勤務人数 = 12.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,615 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '日曜日'(6) の必要人数計算: 曜日別平均勤務人数 = 3.60, 全体平均勤務人数 = 3.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,825 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) の必要人数計算: 曜日別平均勤務人数 = 36.00, 全体平均勤務人数 = 28.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,866 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '火曜日'(1) の必要人数計算: 曜日別平均勤務人数 = 40.50, 全体平均勤務人数 = 28.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,894 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '水曜日'(2) の必要人数計算: 曜日別平均勤務人数 = 31.50, 全体平均勤務人数 = 28.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,931 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '木曜日'(3) の必要人数計算: 曜日別平均勤務人数 = 31.50, 全体平均勤務人数 = 28.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,965 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '金曜日'(4) の必要人数計算: 曜日別平均勤務人数 = 31.50, 全体平均勤務人数 = 28.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:24,996 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '土曜日'(5) の必要人数計算: 曜日別平均勤務人数 = 36.00, 全体平均勤務人数 = 28.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:25,037 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '日曜日'(6) の必要人数計算: 曜日別平均勤務人数 = 0.00, 全体平均勤務人数 = 0.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:25,297 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) の必要人数計算: 曜日別平均勤務人数 = 32.40, 全体平均勤務人数 = 21.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:25,335 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '火曜日'(1) の必要人数計算: 曜日別平均勤務人数 = 36.00, 全体平均勤務人数 = 21.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:25,365 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '水曜日'(2) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 21.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:25,379 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '木曜日'(3) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 21.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:25,409 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '金曜日'(4) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 21.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:25,425 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '土曜日'(5) の必要人数計算: 曜日別平均勤務人数 = 22.50, 全体平均勤務人数 = 21.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:25,448 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '日曜日'(6) の必要人数計算: 曜日別平均勤務人数 = 7.20, 全体平均勤務人数 = 7.20, 適用中の統計手法 = '中央値'
2025-07-08 19:21:25,692 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 12.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:25,714 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '火曜日'(1) の必要人数計算: 曜日別平均勤務人数 = 13.50, 全体平均勤務人数 = 12.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:25,737 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '水曜日'(2) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 12.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:25,755 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '木曜日'(3) の必要人数計算: 曜日別平均勤務人数 = 4.50, 全体平均勤務人数 = 12.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:25,776 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '金曜日'(4) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 12.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:25,792 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '土曜日'(5) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 12.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:25,808 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '日曜日'(6) の必要人数計算: 曜日別平均勤務人数 = 0.00, 全体平均勤務人数 = 0.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:26,040 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) の必要人数計算: 曜日別平均勤務人数 = 61.20, 全体平均勤務人数 = 46.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:26,058 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '火曜日'(1) の必要人数計算: 曜日別平均勤務人数 = 54.00, 全体平均勤務人数 = 46.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:26,095 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '水曜日'(2) の必要人数計算: 曜日別平均勤務人数 = 54.00, 全体平均勤務人数 = 46.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:26,135 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '木曜日'(3) の必要人数計算: 曜日別平均勤務人数 = 49.50, 全体平均勤務人数 = 46.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:26,176 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '金曜日'(4) の必要人数計算: 曜日別平均勤務人数 = 63.00, 全体平均勤務人数 = 46.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:26,209 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '土曜日'(5) の必要人数計算: 曜日別平均勤務人数 = 54.00, 全体平均勤務人数 = 46.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:26,225 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '日曜日'(6) の必要人数計算: 曜日別平均勤務人数 = 0.00, 全体平均勤務人数 = 0.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:26,457 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) の必要人数計算: 曜日別平均勤務人数 = 10.80, 全体平均勤務人数 = 10.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:26,488 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '火曜日'(1) の必要人数計算: 曜日別平均勤務人数 = 13.50, 全体平均勤務人数 = 10.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:26,512 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '水曜日'(2) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 10.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:26,534 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '木曜日'(3) の必要人数計算: 曜日別平均勤務人数 = 13.50, 全体平均勤務人数 = 10.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:26,553 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '金曜日'(4) の必要人数計算: 曜日別平均勤務人数 = 9.00, 全体平均勤務人数 = 10.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:26,575 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '土曜日'(5) の必要人数計算: 曜日別平均勤務人数 = 13.50, 全体平均勤務人数 = 10.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:26,599 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '日曜日'(6) の必要人数計算: 曜日別平均勤務人数 = 0.00, 全体平均勤務人数 = 0.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:27,074 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) の必要人数計算: 曜日別平均勤務人数 = 75.60, 全体平均勤務人数 = 70.20, 適用中の統計手法 = '中央値'
2025-07-08 19:21:27,097 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '火曜日'(1) の必要人数計算: 曜日別平均勤務人数 = 85.50, 全体平均勤務人数 = 70.20, 適用中の統計手法 = '中央値'
2025-07-08 19:21:27,110 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '水曜日'(2) の必要人数計算: 曜日別平均勤務人数 = 90.00, 全体平均勤務人数 = 70.20, 適用中の統計手法 = '中央値'
2025-07-08 19:21:27,144 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '木曜日'(3) の必要人数計算: 曜日別平均勤務人数 = 81.00, 全体平均勤務人数 = 70.20, 適用中の統計手法 = '中央値'
2025-07-08 19:21:27,160 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '金曜日'(4) の必要人数計算: 曜日別平均勤務人数 = 99.00, 全体平均勤務人数 = 70.20, 適用中の統計手法 = '中央値'
2025-07-08 19:21:27,184 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '土曜日'(5) の必要人数計算: 曜日別平均勤務人数 = 76.50, 全体平均勤務人数 = 70.20, 適用中の統計手法 = '中央値'
2025-07-08 19:21:27,194 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '日曜日'(6) の必要人数計算: 曜日別平均勤務人数 = 0.00, 全体平均勤務人数 = 0.00, 適用中の統計手法 = '中央値'
2025-07-08 19:21:27,430 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) の必要人数計算: 曜日別平均勤務人数 = 205.20, 全体平均勤務人数 = 141.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:27,456 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '火曜日'(1) の必要人数計算: 曜日別平均勤務人数 = 180.00, 全体平均勤務人数 = 141.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:27,487 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '水曜日'(2) の必要人数計算: 曜日別平均勤務人数 = 148.50, 全体平均勤務人数 = 141.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:27,525 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '木曜日'(3) の必要人数計算: 曜日別平均勤務人数 = 153.00, 全体平均勤務人数 = 141.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:27,546 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '金曜日'(4) の必要人数計算: 曜日別平均勤務人数 = 153.00, 全体平均勤務人数 = 141.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:27,569 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '土曜日'(5) の必要人数計算: 曜日別平均勤務人数 = 157.50, 全体平均勤務人数 = 141.60, 適用中の統計手法 = '中央値'
2025-07-08 19:21:27,595 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '日曜日'(6) の必要人数計算: 曜日別平均勤務人数 = 10.80, 全体平均勤務人数 = 10.80, 適用中の統計手法 = '中央値'
2025-07-08 19:21:29,897 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) の必要人数計算: 曜日別平均勤務人数 = 291.60, 全体平均勤務人数 = 222.60, 適用中の統計手法 = '平均値'
2025-07-08 19:21:29,937 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '火曜日'(1) の必要人数計算: 曜日別平均勤務人数 = 279.00, 全体平均勤務人数 = 222.60, 適用中の統計手法 = '平均値'
2025-07-08 19:21:29,960 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '水曜日'(2) の必要人数計算: 曜日別平均勤務人数 = 256.50, 全体平均勤務人数 = 222.60, 適用中の統計手法 = '平均値'
2025-07-08 19:21:29,987 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '木曜日'(3) の必要人数計算: 曜日別平均勤務人数 = 247.50, 全体平均勤務人数 = 222.60, 適用中の統計手法 = '平均値'
2025-07-08 19:21:30,027 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '金曜日'(4) の必要人数計算: 曜日別平均勤務人数 = 261.00, 全体平均勤務人数 = 222.60, 適用中の統計手法 = '平均値'
2025-07-08 19:21:30,060 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '土曜日'(5) の必要人数計算: 曜日別平均勤務人数 = 247.50, 全体平均勤務人数 = 222.60, 適用中の統計手法 = '平均値'
2025-07-08 19:21:30,093 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '日曜日'(6) の必要人数計算: 曜日別平均勤務人数 = 10.80, 全体平均勤務人数 = 10.80, 適用中の統計手法 = '平均値'
2025-07-08 19:21:30,343 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 12.00, 適用中の統計手法 = '平均値'
2025-07-08 19:21:30,376 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '火曜日'(1) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 12.00, 適用中の統計手法 = '平均値'
2025-07-08 19:21:30,397 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '水曜日'(2) の必要人数計算: 曜日別平均勤務人数 = 9.00, 全体平均勤務人数 = 12.00, 適用中の統計手法 = '平均値'
2025-07-08 19:21:30,418 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '木曜日'(3) の必要人数計算: 曜日別平均勤務人数 = 9.00, 全体平均勤務人数 = 12.00, 適用中の統計手法 = '平均値'
2025-07-08 19:21:30,439 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '金曜日'(4) の必要人数計算: 曜日別平均勤務人数 = 18.00, 全体平均勤務人数 = 12.00, 適用中の統計手法 = '平均値'
2025-07-08 19:21:30,464 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '土曜日'(5) の必要人数計算: 曜日別平均勤務人数 = 13.50, 全体平均勤務人数 = 12.00, 適用中の統計手法 = '平均値'
2025-07-08 19:21:30,486 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '日曜日'(6) の必要人数計算: 曜日別平均勤務人数 = 0.00, 全体平均勤務人数 = 0.00, 適用中の統計手法 = '平均値'
2025-07-08 19:21:30,701 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '月曜日'(0) の必要人数計算: 曜日別平均勤務人数 = 79.20, 全体平均勤務人数 = 53.40, 適用中の統計手法 = '平均値'
2025-07-08 19:21:30,726 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '火曜日'(1) の必要人数計算: 曜日別平均勤務人数 = 58.50, 全体平均勤務人数 = 53.40, 適用中の統計手法 = '平均値'
2025-07-08 19:21:30,753 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '水曜日'(2) の必要人数計算: 曜日別平均勤務人数 = 67.50, 全体平均勤務人数 = 53.40, 適用中の統計手法 = '平均値'
2025-07-08 19:21:30,768 - INFO - [heatmap.calculate_pattern_based_need] - 曜日 '木曜日'(3) の必要人数計算: 曜日別平均勤務人数 = 72.00, 全体平均勤務人数 = 53.40, 適用中の統計手法 = '平均値'
